"title","imdb_id","titleType","startYear","endYear","genres","averageRating","numVotes","director","platform"
"The Reluctant Dragon","tt0034091","movie",1941,0,"Animation,Comedy,Family",6.7,3968,NA,"Disney+"
"Superman: The Mad Scientist","tt0034247","short",1941,0,"Action,Adventure,Animation",7.3,3645,NA,"Prime Video"
"That Hamilton Woman","tt0034272","movie",1941,0,"Drama,History,Romance",7.2,5217,"Alexander Korda","Max"
"That Uncertain Feeling","tt0034274","movie",1941,0,"Comedy",6.6,3086,"Ernst Lubitsch","Prime Video"
"Topper Returns","tt0034303","movie",1941,0,"Comedy,Fantasy,Mystery",6.8,3559,"Roy Del Ruth","Prime Video"
"The Wagons Roll at Night","tt0034370","movie",1941,0,"Drama,Romance",6.3,1258,"Ray Enright","Max"
"Bambi","tt0034492","movie",1942,0,"Adventure,Animation,Drama",7.3,157677,NA,"Disney+"
"Casablanca","tt0034583","movie",1942,0,"Drama,Romance,War",8.5,621986,"Michael Curtiz","Max"
"The Corpse Vanishes","tt0034613","movie",1942,0,"Horror,Sci-Fi",4.6,3659,"Wallace Fox","Prime Video"
"Holiday Inn","tt0034862","movie",1942,0,"Comedy,Drama,Music",7.3,18393,NA,"Prime Video"
"I Married a Witch","tt0034881","movie",1942,0,"Comedy,Fantasy,Horror",7.1,9960,"René Clair","Max"
"In Which We Serve","tt0034891","movie",1942,0,"Drama,War",7.2,6613,NA,"Max"
"In Which We Serve","tt0034891","movie",1942,0,"Drama,War",7.2,6613,NA,"Prime Video"
"Jungle Book","tt0034928","movie",1942,0,"Action,Adventure,Family",6.7,4807,"Zoltan Korda","Max"
"Jungle Book","tt0034928","movie",1942,0,"Action,Adventure,Family",6.7,4807,"Zoltan Korda","Prime Video"
"Klondike Fury","tt0034948","movie",1942,0,"Action,Adventure,Drama",4.4,120,"William K. Howard","Prime Video"
"Law of the Jungle","tt0034968","movie",1942,0,"Adventure",5,252,"Jean Yarbrough","Prime Video"
"The Palm Beach Story","tt0035169","movie",1942,0,"Comedy,Romance",7.5,13221,"Preston Sturges","Prime Video"
"The Pride of the Yankees","tt0035211","movie",1942,0,"Biography,Drama,Romance",7.6,12291,"Sam Wood","Prime Video"
"Sherlock Holmes and the Secret Weapon","tt0035317","movie",1942,0,"Adventure,Crime,Drama",6.5,6855,"Roy William Neill","Prime Video"
"Kate & Leopold","tt0035423","movie",2001,0,"Comedy,Fantasy,Romance",6.4,90848,"James Mangold","Max"
"To Be or Not to Be","tt0035446","movie",1942,0,"Comedy,Romance,War",8.1,45424,"Ernst Lubitsch","Max"
"Campus Rhythm","tt0035710","movie",1943,0,"Comedy,Music,Romance",5.4,140,"Arthur Dreifuss","Prime Video"
"Destination Tokyo","tt0035799","movie",1943,0,"Adventure,War",7.1,5854,"Delmer Daves","Max"
"Gung Ho!","tt0035958","movie",1943,0,"Drama,History,War",6,1706,"Ray Enright","Prime Video"
"Hangmen Also Die!","tt0035966","movie",1943,0,"Drama,Film-Noir,Thriller",7.4,6684,"Fritz Lang","Prime Video"
"Hi Diddle Diddle","tt0035996","movie",1943,0,"Comedy,Musical",6.6,761,"Andrew L. Stone","Prime Video"
"The Leopard Man","tt0036104","movie",1943,0,"Film-Noir,Horror,Thriller",6.7,6170,"Jacques Tourneur","Max"
"The Life and Death of Colonel Blimp","tt0036112","movie",1943,0,"Drama,Romance,War",8,17145,NA,"Max"
"The Life and Death of Colonel Blimp","tt0036112","movie",1943,0,"Drama,Romance,War",8,17145,NA,"Prime Video"
"The Memphis Belle","tt0036152","movie",1944,0,"Documentary,History,War",7.3,1943,"William Wyler","Max"
