Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget,Z-Score (Budget),Box Office Revenue,Z-Score (Revenue)
Grown Ups 2,2013-07-12,https://en.wikipedia.org/wiki/Grown_Ups_2,Comedy,,Dennis Dugan,,Adam Sandler,Kevin James,Chris Rock,David Spade,Taylor Lautner,80000000.00,0.63,247000000.00,0.52
"Hail, Caesar!",2016-02-05,"https://en.wikipedia.org/wiki/Hail,_Caesar!",Comedy,,Joel and Ethan Coen,,Josh Brolin,George Clooney,Alden Ehrenreich,Ralph Fiennes,Jonah Hill,22000000.00,-0.55,22000000.00,-0.71
Hands of Stone,2016-08-26,https://en.wikipedia.org/wiki/Hands_of_Stone,Biography,Drama,Jonathan Jakubowicz,,Édgar Ramírez,Robert De Niro,Usher,Ellen Barkin,Ana de Armas,20000000.00,-0.59,1700000.00,-0.82
Hansel and Gretel: Witch Hunters,2013-01-17,https://en.wikipedia.org/wiki/Hansel_and_Gretel:_Witch_Hunters,Action,Fantasy,Tommy Wirkola,,Jeremy Renner,Gemma Arterton,Zoe Bell,Famke Janssen,Peter Stormare,50000000.00,0.02,226300000.00,0.41
Heaven Is for Real,2014-04-16,https://en.wikipedia.org/wiki/Heaven_Is_for_Real_(film),Religious,,Randall Wallace,,Greg Kinnear,Kelly Reilly,Connor Corum,Thomas Haden Church,Jacob Vargas,12000000.00,-0.75,101300000.00,-0.28
Here Comes the Boom,2012-10-12,https://en.wikipedia.org/wiki/Here_Comes_the_Boom,Comedy,,Frank Coraci,,Kevin James,Salma Hayek,Henry Winkler,Joe Rogan,,42000000.00,-0.14,73100000.00,-0.43
Hit and Run,2012-08-22,https://en.wikipedia.org/wiki/Hit_and_Run_(2012_film),Action,Comedy,Dax Shepard,,Dax Shepard,Kristen Bell,Bradley Cooper,Tom Arnold,Kristin Chenoweth,2000000.00,-0.95,14500000.00,-0.75
Hitman: Agent 47,2015-08-21,https://en.wikipedia.org/wiki/Hitman:_Agent_47,Action,Thriller,Aleksander Bach,,Rupert Friend,Zachary Quinto,Hannah Ware,Thomas Kretschmann,,35000000.00,-0.28,82300000.00,-0.38
Home,2015-03-07,https://en.wikipedia.org/wiki/Home_(2015_animated_film),Animation,Comedy,Tim Johnson,,Jim Parsons,Rihanna,Jennifer Lopez,Steve Martin,Matt Jones,135000000.00,1.75,386000000.00,1.28
Hope Springs,2012-08-08,https://en.wikipedia.org/wiki/Hope_Springs_(2012_film),Romance,Drama,David Frankel,,Meryl Streep,Tommy Lee Jones,Steve Carell,Mimi Rogers,Elisabeth Shue,30000000.00,-0.38,114300000.00,-0.21
Horrible Bosses 2,2014-11-26,https://en.wikipedia.org/wiki/Horrible_Bosses_2,Comedy,,Sean Anders,,Jason Bateman,Charlie Day,Jason Sudeikis,Kevin Spacey,Jennifer Aniston,57000000.00,0.17,107700000.00,-0.24
Hot Pursuit,2015-05-08,https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film),Action,Comedy,Anne Fletcher,,Reese Witherspoon,Sofía Vergara,Jim Gaffigan,John Carroll Lynch,,35000000.00,-0.28,51700000.00,-0.55
Hotel Transylvania,2012-09-28,https://en.wikipedia.org/wiki/Hotel_Transylvania,Fantasy,,Genndy Tartakovsky,,Adam Sandler,Selena Gomez,Andy Samberg,Kevin James,Fran Drescher,85000000.00,0.73,358400000.00,1.13
Hotel Transylvania 2,2015-09-25,https://en.wikipedia.org/wiki/Hotel_Transylvania_2,Fantasy,Comedy,Genndy Tartakovsky,,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,80000000.00,0.63,473000000.00,1.75
How to Train Your Dragon 2,2014-05-16,https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_2,Family,,Dean DeBlois,,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,145000000.00,1.95,621500000.00,2.56
I,2015-01-14,https://en.wikipedia.org/wiki/I_(film),Romance,Thriller,S. Shankar,,Vikram,Amy Jackson,N. Santhanam,Suresh Gopi,Upen Patel,15000000.00,-0.69,65000000.00,-0.47
I Saw the Light,2015-09-11,https://en.wikipedia.org/wiki/I_Saw_the_Light_(film),Drama,Musical,Marc Abraham ,Tom Hiddleston,Elizabeth Olsen,,,,,13000000.00,-0.73,2600000.00,-0.82
Ice Age: Collision Course,2016-07-22,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,Adventure,,Mike Thurmeier,Galen T. Chu,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Jennifer Lopez,105000000.00,1.14,368300000.00,1.18
Ice Age: Continental Drift,2012-07-13,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,Adventure,,Steve Martino,Mike Thurmeier,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott,95000000.00,0.94,877000000.00,3.96
Identity Thief,2013-02-08,https://en.wikipedia.org/wiki/Identity_Thief,Action,Comedy,Seth Gordon,,Jason Bateman,Melissa McCarthy,Amanda Peet,John Cho,Clark Duke,35000000.00,-0.28,174000000.00,0.12
If I Stay,2014-08-18,https://en.wikipedia.org/wiki/If_I_Stay_(film),Drama,,R. J. Cutler,,Chloë Grace Moretz,Mireille Enos,Lauren Lee Smith,Liana Liberato,Jamie Blackley,11000000.00,-0.77,78900000.00,-0.40
In the Heart of the Sea,2015-12-11,https://en.wikipedia.org/wiki/In_the_Heart_of_the_Sea_(film),Biography,,Ron Howard,,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Tom Holland,Ben Whishaw,100000000.00,1.04,93900000.00,-0.32
